,time,x_lmc,y_lmc,lat,lon,UTM_N,UTM_E,z,vel_over_ground_N,vel_over_ground_E,vel_over_ground_D,u,v,w,roll,pitch,yaw,p,q,r,q0,q1,q2,q3,rud_angle,mot_pwr,batt_pos,pump_vol,vel_oc_N,vel_oc_E,vel_oc_u,vel_oc_v
0,1574789259.000041,-45.22730000000001,-23.848,36.52897870485473,25.48343911292331,4043692.2020000005,364229.95269999997,2.5,0.6992039158325675,0.06524395281430466,0.17499872745008777,0.43236028838480106,-0.5560591362532826,-0.16622352998491594,4.662936538643718,-28.618192500441467,178.4069217159832,0.0237262071460709,-0.010292280693933616,-0.0051919310407444845,0.2474723816307801,0.035981685271459105,0.9682206038901878,0.0034060031613350064,-0.7550343208787788,0.5878896459393089,-0.0014281962375914223,-189.60720504476768,0.16952625963910242,0.47063246245537516,0.17582777870365382,-0.1269117064703596
1,1574789267.000041,-43.55763688187617,-25.10267509719659,36.52896763487073,25.483457978050012,4043690.947324901,364231.622363118,4.100006595857657,0.04003179615364254,-0.299699286438996,0.27499725141950304,-0.060918500046991265,0.39683953322350146,-0.07649440570599977,3.720133711151939,-30.711409744934272,176.0504154379899,-0.0010456531323800628,-0.006355070513709571,0.027354561619992175,0.26559256140241355,0.02216072754172376,0.96351609134189,0.024621818548286524,-0.03715534998875267,0.6183283653839422,-0.001420315733122935,-211.75308863785338,0.09804128779748346,0.2762556239949414,0.04961146457521394,-0.07664943713497865
2,1574789275.000041,-43.279278107763034,-27.580836063443037,36.52894534126875,25.48346152242935,4043688.469163936,364231.9007218922,5.184275551883175,0.14074532585061417,-0.35135754261163277,0.2076840537682981,-0.1499032623438744,0.38144058433643196,-0.17377657200839491,3.368919467157451,-31.091114783627134,176.70119095361954,-0.009113756782391893,-0.005753754998882777,-0.003302823958742282,0.2685879467107744,0.02061083172077473,0.9628508886616749,0.019850500144427925,0.45812660725033666,0.6212390066130364,-0.0014195621757581527,-236.00346623006698,0.029338745842652697,0.08881213372514618,0.03481188457573901,-0.0071458370621677305
3,1574789283.000041,-43.06649821638768,-30.34963450289106,36.5289204191348,25.48346438566169,4043685.7003654977,364232.1135017837,7.274237898853081,0.046492296118043175,-0.36095215170686373,0.18834343443748214,-0.06136243789812455,0.08701335848041408,0.5792813411728088,5.599541442802108,-31.43463869278824,175.19682658612484,0.002429264573529968,0.013325119837117871,0.017473053836150963,0.27230349213871063,0.03564096756768389,0.9615955534038013,0.02705550621264803,-0.49653673010983257,0.7540220201105791,-0.001385185002529495,-258.6009737177485,0.012996493850899349,0.0543541988965099,0.020160886929024978,0.009975008770491338
4,1574789291.000041,-43.16323137834958,-33.71304547968827,36.52889009440943,25.48346389734166,4043682.3369545196,364232.01676862163,9.307498660653916,0.23226936576806392,-0.43385499793536847,0.22046514218646668,0.12309183829025204,-0.3444427041726678,0.44653264039784557,4.398841935356499,-31.71455725602676,156.64607482543536,0.008745860151173006,-0.004083731323612761,-0.01997910658523037,0.27495037758317403,-0.018911696267063866,0.9435944202056226,0.18427093810665857,-0.4595022703204486,2.33115422257711,-0.0008571954246847656,-261.70155358841595,0.0016921994223025537,0.022249490954362714,-0.0001700045385663505,-0.007817220961966492
5,1574789299.000041,-41.109898068248846,-36.5248910631357,36.52886504571985,25.48348732071022,4043679.5251089367,364234.07010193163,11.100010629487764,0.7515363597808707,-0.48033919129237324,0.3999938131441085,-0.47990547103654513,0.45422352146600536,-0.7203258482350209,3.878127923679628,-30.101250799074936,139.37565624622698,-0.012363035099883297,-0.007330157494088496,0.006765536459924073,0.2547282302078298,-0.05944576842277234,0.9081765505206806,0.3267950200566781,-0.45470374193880436,3.0742894430477143,-0.006891999074258375,-261.7844241803907,0.008983329499577357,0.04436542459602408,0.004593712849572485,-0.00598888506465453
6,1574789307.000041,-34.15444238957985,-39.606777124295945,36.5288382595693,25.483565531177614,4043676.443222876,364241.02555761044,14.121870181505779,1.0805783256618646,-0.178810950052267,0.3366195954763203,0.3065296388003394,-0.4078484056146853,-0.16760783823073572,3.596858024164557,-25.357260162584573,109.07381960027482,-0.00497026728582185,0.003894127117972768,0.0033588355712019444,0.19648745705791582,-0.1021920746731562,0.7980981633969477,0.5602711201607292,-0.4537033291891047,3.1667030165028502,-0.006134232710564902,-261.9593507296647,0.007271734608247354,0.10551648944447148,-0.0006727885815342479,-0.00046320955174379075
7,1574789315.000041,-26.46957351884539,-40.83178688453669,36.528828311071734,25.48365155987986,4043675.218213116,364248.7104264812,16.34092361659472,0.18700276259575013,0.11510810576423695,0.0347046609908391,0.4954606003342516,0.13686352311617814,-0.03678305529349694,3.347206918320382,-25.22368195289592,84.08749442636079,0.00019024129554733268,-0.004093427923610932,0.02130375084785372,0.1670934634947563,-0.14275912589169534,0.6570761798988453,0.719168058415246,-0.45298117755727635,3.000709160267844,-0.006073124492474609,-262.03324007145824,0.002775016904250326,0.027294301579864504,0.01634511151029219,-0.0009194069226494783
8,1574789323.000041,-19.55909189059594,-39.45827249273589,36.52884167040315,25.48372848418451,4043676.591727508,364255.6209081095,17.84794509388278,1.193918737388318,0.22303008558889706,0.31799677019706235,0.3478998363066763,-1.1312187186926697,-0.27724001435704504,3.3807755348896147,-25.2096740195642,75.31338160103644,-0.005832031664975427,0.010097126573096993,0.008000151229464347,0.15634228082046606,-0.15525020153159763,0.6022398534576735,0.7687778550286373,-0.44720132088731396,2.9908921179561663,-0.006069116747978726,-262.04543448356713,0.09166546048888738,0.27356611664536357,-0.023556252336613393,-0.09794455343127635
9,1574789331.000041,-10.864067007580932,-37.32835620508072,36.528862099737935,25.483825202572888,4043678.721643794,364264.3159329924,20.23185941616117,1.515247683660385,0.6316743072852342,0.33819964444637274,0.8013171712318385,0.4076417407865304,0.07059503520835422,3.4299471337174827,-25.452515337015488,76.97683130528004,0.021730411303460095,-0.016843160072311937,-0.007162875807982487,0.16145580774451723,-0.15312997564008748,0.6197243917470803,0.7561358042994826,-0.34912216770152427,2.9072721456664703,-0.006068876356436751,-262.05605015637923,-0.041775411140541265,0.17007921117912095,-0.08506665946253934,-0.10518411446268064
